Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,C_Small,C_0805_2012Metric,228.0,-75.0,0.0,top
C2,C_Small,C_0805_2012Metric,183.0,-77.0,90.0,top
C3,C_Small,C_0805_2012Metric,196.0,-70.9125,180.0,top
C4,100pF,C_0805_2012Metric,216.0,-79.0,0.0,top
C5,C_Small,C_0805_2012Metric,221.0,-80.0,90.0,top
C6,C_Small,C_0805_2012Metric,205.0,-80.0,0.0,top
C7,C_Small,C_0805_2012Metric,229.0,-88.0,90.0,top
D1,1N4148W,D_SOD-123,192.0,-73.9125,180.0,top
D2,1N4148W,D_SOD-123,211.0,-78.0,-90.0,top
D3,1N4148W,D_SOD-123,224.0,-77.0,-90.0,top
D4,LOW,LED_D3.0mm_FlatTop,187.0,-87.0,-90.0,top
D5,1N4148W,D_SOD-123,224.0,-83.0,90.0,top
D6,CLK,LED_D3.0mm_FlatTop,181.0,-87.0,-90.0,top
D7,1N4148W,D_SOD-123,211.0,-84.0,-90.0,top
D8,HIGH,LED_D3.0mm_FlatTop,193.0,-87.0,-90.0,top
D9,1N4002,D_SOD-123,224.0,-91.0,0.0,top
J1,PROBE,Banana_Jack_1Pin,176.2,-80.0,0.0,top
J2,GND CLIP,Banana_Jack_1Pin,239.0,-90.0,90.0,top
J3,VCC CLIP,Banana_Jack_1Pin,239.0,-72.0,90.0,top
Q1,2N3906,TO-92_Inline,237.0,-81.0,90.0,top
Q2,2N3904,TO-92_Inline,220.0,-75.0,90.0,top
Q3,2N3904,TO-92_Inline,229.0,-81.0,90.0,top
Q4,2N3906,TO-92_Inline,216.0,-83.0,-90.0,top
Q5,2N3906,TO-92_Inline,199.0,-93.0,0.0,top
R1,100K,R_0805_2012Metric,199.0,-76.0,0.0,top
R2,100K,R_0805_2012Metric,232.0,-87.0,0.0,top
R3,200R,R_0805_2012Metric,185.0,-73.0,90.0,top
R4,100K,R_0805_2012Metric,232.0,-85.0,180.0,top
R5,30K,R_0805_2012Metric,188.0,-72.9125,-90.0,top
R6,220R,R_0805_2012Metric,188.0875,-94.0,180.0,top
R7,100K,R_0805_2012Metric,183.0,-80.95,-90.0,top
R8,4.7M,R_0805_2012Metric,215.0,-75.0,-90.0,top
R9,120K,R_0805_2012Metric,192.0,-70.9125,0.0,top
R10,200R,R_0805_2012Metric,184.0875,-94.0,180.0,top
R11,100K,R_0805_2012Metric,207.9125,-76.0,180.0,top
R12,15K,R_0805_2012Metric,199.0,-80.0,0.0,top
R13,20K,R_0805_2012Metric,203.825,-83.0,0.0,top
R14,2K,R_0805_2012Metric,228.0,-84.0,0.0,top
R15,4.7K,R_0805_2012Metric,233.0,-76.0,-90.0,top
R16,30K,R_0805_2012Metric,180.0,-94.0,0.0,top
R17,30K,R_0805_2012Metric,207.0,-85.0,-90.0,top
R18,4.7M,R_0805_2012Metric,221.0,-86.0,90.0,top
R19,100K,R_0805_2012Metric,204.0,-76.0,180.0,top
R20,20K,R_0805_2012Metric,202.0,-72.0,-90.0,top
R21,5.1K,R_0805_2012Metric,196.9125,-84.0,90.0,top
R22,4.7M,R_0805_2012Metric,200.9125,-84.0,90.0,top
R23,200R,R_0805_2012Metric,192.0875,-94.0,0.0,top
R24,10K,R_0805_2012Metric,233.0,-82.0,-90.0,top
SW1,SW_SPDT,SW_Slide_1P2T_CK_OS102011MS2Q,212.0,-70.7025,180.0,top
SW2,SW_SPDT,SW_Slide_1P2T_CK_OS102011MS2Q,208.0,-91.0,0.0,top
U1,LM2901,SOIC-14_3.9x8.7mm_P1.27mm,190.0,-80.0,90.0,top
